average,deviation,name
47354583.33,3611955.387,"Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios"
42057333.33,6153368.572,Actividades financieras y de seguros
114968000,10519490.9,Actividades inmobiliarias
82522333.33,10124549.41,"Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares"
183661916.7,8973379.007,Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales
28310916.67,3488798.346,"Agricultura, ganadería, silvicultura y pesca "
232038916.7,18385214.73,Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería
72853000,20594022.59,Construcción
163628000,8759901.463,"Industrias extractivas; industria manufacturera; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
38529583.33,2054148.638,Información y comunicaciones
